,exercise_id,scale,chord_progression,tempo,barre_chords_metric,major_minor_chords_metric,special_chords,tempo_mattric,chord_vector,barre_chords_metric_scaled,major_minor_chords_metric_scaled,special_chords_scaled,tempo_mattric_scaled,feature_vector
0,1,G,"G,C,Em,D,D7",40,0,5,0,0.0,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.0,[0. 0. 0. ... 1. 0. 0.]
1,1,G,"G,C,Em,D,D7",50,0,5,0,0.0625,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.0625,[0.     0.     0.     ... 1.     0.     0.0625]
2,1,G,"G,C,Em,D,D7",60,0,5,0,0.125,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.125,[0.    0.    0.    ... 1.    0.    0.125]
3,1,G,"G,C,Em,D,D7",70,0,5,0,0.1875,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.1875,[0.     0.     0.     ... 1.     0.     0.1875]
4,1,G,"G,C,Em,D,D7",80,0,5,0,0.25,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.25,[0.   0.   0.   ... 1.   0.   0.25]
5,1,G,"G,C,Em,D,D7",90,0,5,0,0.3125,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.3125,[0.     0.     0.     ... 1.     0.     0.3125]
6,1,G,"G,C,Em,D,D7",100,0,5,0,0.375,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.375,[0.    0.    0.    ... 1.    0.    0.375]
7,1,G,"G,C,Em,D,D7",125,0,5,0,0.53125,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.53125,[0.      0.      0.      ... 1.      0.      0.53125]
8,1,G,"G,C,Em,D,D7",150,0,5,0,0.6875,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.6875,[0.     0.     0.     ... 1.     0.     0.6875]
9,1,G,"G,C,Em,D,D7",175,0,5,0,0.84375,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.84375,[0.      0.      0.      ... 1.      0.      0.84375]
10,1,G,"G,C,Em,D,D7",200,0,5,0,1.0,[0 0 0 ... 0 0 0],0.0,1.0,0.0,1.0,[0. 0. 0. ... 1. 0. 1.]
11,2,Em,"Em,C,G,D,D7",40,0,5,0,0.0,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.0,[0. 0. 0. ... 1. 0. 0.]
12,2,Em,"Em,C,G,D,D7",50,0,5,0,0.0625,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.0625,[0.     0.     0.     ... 1.     0.     0.0625]
13,2,Em,"Em,C,G,D,D7",60,0,5,0,0.125,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.125,[0.    0.    0.    ... 1.    0.    0.125]
14,2,Em,"Em,C,G,D,D7",70,0,5,0,0.1875,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.1875,[0.     0.     0.     ... 1.     0.     0.1875]
15,2,Em,"Em,C,G,D,D7",80,0,5,0,0.25,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.25,[0.   0.   0.   ... 1.   0.   0.25]
16,2,Em,"Em,C,G,D,D7",90,0,5,0,0.3125,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.3125,[0.     0.     0.     ... 1.     0.     0.3125]
17,2,Em,"Em,C,G,D,D7",100,0,5,0,0.375,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.375,[0.    0.    0.    ... 1.    0.    0.375]
18,2,Em,"Em,C,G,D,D7",125,0,5,0,0.53125,[0 0 0 ... 0 0 0],0.0,1.0,0.0,0.53125,[0.      0.      0.      ... 1.      0.      0.53125]
